[TI_2]; INFO ; 2018-09-03 00:21:21.212; [QueueManager]; Sem processamento a 270 minutos; 
[TE_21]; INFO ; 2018-09-03 00:21:21.212; [QueueManager]; Sem processamento a 270 minutos; 
[TI_22]; INFO ; 2018-09-03 00:21:21.213; [QueueManager]; Sem processamento a 270 minutos; 
[TFC_21]; INFO ; 2018-09-03 00:21:21.213; [QueueManager]; Sem processamento a 270 minutos; 
[TC_2]; INFO ; 2018-09-03 00:21:21.213; [QueueManager]; Sem processamento a 270 minutos; 
[TC_21]; INFO ; 2018-09-03 00:21:21.213; [QueueManager]; Sem processamento a 270 minutos; 
[TB_2]; INFO ; 2018-09-03 00:21:21.213; [QueueManager]; Sem processamento a 270 minutos; 
[TE_22]; INFO ; 2018-09-03 00:21:21.213; [QueueManager]; Sem processamento a 270 minutos; 
[TE_2]; INFO ; 2018-09-03 00:21:21.213; [QueueManager]; Sem processamento a 270 minutos; 
[TC_22]; INFO ; 2018-09-03 00:21:21.213; [QueueManager]; Sem processamento a 270 minutos; 
[TE_1]; INFO ; 2018-09-03 00:21:21.213; [QueueManager]; Sem processamento a 270 minutos; 
[TFP2_21]; INFO ; 2018-09-03 00:21:22.213; [QueueManager]; Sem processamento a 270 minutos; 
[TI_21]; INFO ; 2018-09-03 00:21:22.214; [QueueManager]; Sem processamento a 270 minutos; 
[TB_21]; INFO ; 2018-09-03 00:21:22.214; [QueueManager]; Sem processamento a 270 minutos; 
[TR_21]; INFO ; 2018-09-03 00:21:22.214; [QueueManager]; Sem processamento a 270 minutos; 
[TRI_21]; INFO ; 2018-09-03 00:21:22.214; [QueueManager]; Sem processamento a 270 minutos; 
[TIN_21]; INFO ; 2018-09-03 00:21:22.214; [QueueManager]; Sem processamento a 270 minutos; 
[TG_21]; INFO ; 2018-09-03 00:21:22.214; [QueueManager]; Sem processamento a 270 minutos; 
[TFCI_21]; INFO ; 2018-09-03 00:21:23.192; [QueueManager]; Sem processamento a 270 minutos; 
[TFCI_1]; INFO ; 2018-09-03 00:21:23.192; [QueueManager]; Sem processamento a 270 minutos; 
[TEL_J21]; INFO ; 2018-09-03 00:21:23.192; [QueueManager]; Sem processamento a 270 minutos; 
[TFP2_1]; INFO ; 2018-09-03 00:21:23.215; [QueueManager]; Sem processamento a 270 minutos; 
[TFCO_21]; INFO ; 2018-09-03 00:21:24.192; [QueueManager]; Sem processamento a 270 minutos; 
[TEL_J1]; INFO ; 2018-09-03 00:21:24.192; [QueueManager]; Sem processamento a 270 minutos; 
[IPSM]; DEBUG; 2018-09-03 00:23:03.526; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:23:03.531; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:23:03.541; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:23:03.541; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[IPSM]; DEBUG; 2018-09-03 00:25:03.545; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:25:03.549; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:25:03.558; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:25:03.558; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[IPCM]; DEBUG; 2018-09-03 00:26:10.342; [Gerenciamento]; Buscando processos de integrador a serem enviados ao Cold; 
[IPCM]; DEBUG; 2018-09-03 00:26:10.497; [Gerenciamento]; Finalizado processo de envio do integrador ao Cold; 
[IPCM]; DEBUG; 2018-09-03 00:26:10.497; [Gerenciamento]; Iniciando limpeza de processos do Integrador SAT obsoletos; 
[IPSM]; DEBUG; 2018-09-03 00:27:03.562; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:27:03.566; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:27:03.573; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:27:03.573; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[TFC_1]; INFO ; 2018-09-03 00:27:20.711; [QueueManager]; Sem processamento a 230 minutos; 
[TC_1]; INFO ; 2018-09-03 00:27:24.718; [QueueManager]; Sem processamento a 230 minutos; 
[TI_1]; INFO ; 2018-09-03 00:27:25.719; [QueueManager]; Sem processamento a 230 minutos; 
[IPSM]; DEBUG; 2018-09-03 00:29:03.577; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:29:03.581; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:29:03.585; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:29:03.585; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[IPSM]; DEBUG; 2018-09-03 00:31:03.589; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:31:03.601; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:31:03.609; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:31:03.609; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[IPCM]; DEBUG; 2018-09-03 00:31:10.508; [Gerenciamento]; Buscando processos de integrador a serem enviados ao Cold; 
[IPCM]; DEBUG; 2018-09-03 00:31:10.679; [Gerenciamento]; Finalizado processo de envio do integrador ao Cold; 
[IPCM]; DEBUG; 2018-09-03 00:31:10.679; [Gerenciamento]; Iniciando limpeza de processos do Integrador SAT obsoletos; 
[TRI_1]; INFO ; 2018-09-03 00:31:21.049; [QueueManager]; Sem processamento a 280 minutos; 
[TIN_1]; INFO ; 2018-09-03 00:31:21.049; [QueueManager]; Sem processamento a 280 minutos; 
[TG_1]; INFO ; 2018-09-03 00:31:21.049; [QueueManager]; Sem processamento a 280 minutos; 
[TFCO_1]; INFO ; 2018-09-03 00:31:22.049; [QueueManager]; Sem processamento a 280 minutos; 
[TR_1]; INFO ; 2018-09-03 00:31:22.049; [QueueManager]; Sem processamento a 280 minutos; 
[TB_22]; INFO ; 2018-09-03 00:31:22.049; [QueueManager]; Sem processamento a 280 minutos; 
[TE_21]; INFO ; 2018-09-03 00:31:22.049; [QueueManager]; Sem processamento a 280 minutos; 
[TC_2]; INFO ; 2018-09-03 00:31:22.049; [QueueManager]; Sem processamento a 280 minutos; 
[TE_2]; INFO ; 2018-09-03 00:31:22.049; [QueueManager]; Sem processamento a 280 minutos; 
[TE_1]; INFO ; 2018-09-03 00:31:22.049; [QueueManager]; Sem processamento a 280 minutos; 
[TB_1]; INFO ; 2018-09-03 00:31:22.049; [QueueManager]; Sem processamento a 280 minutos; 
[TI_22]; INFO ; 2018-09-03 00:31:22.049; [QueueManager]; Sem processamento a 280 minutos; 
[TI_2]; INFO ; 2018-09-03 00:31:22.049; [QueueManager]; Sem processamento a 280 minutos; 
[TFC_21]; INFO ; 2018-09-03 00:31:22.049; [QueueManager]; Sem processamento a 280 minutos; 
[TB_2]; INFO ; 2018-09-03 00:31:22.049; [QueueManager]; Sem processamento a 280 minutos; 
[TC_22]; INFO ; 2018-09-03 00:31:22.049; [QueueManager]; Sem processamento a 280 minutos; 
[TE_22]; INFO ; 2018-09-03 00:31:22.049; [QueueManager]; Sem processamento a 280 minutos; 
[TC_21]; INFO ; 2018-09-03 00:31:22.049; [QueueManager]; Sem processamento a 280 minutos; 
[TFP2_21]; INFO ; 2018-09-03 00:31:23.050; [QueueManager]; Sem processamento a 280 minutos; 
[TR_21]; INFO ; 2018-09-03 00:31:23.050; [QueueManager]; Sem processamento a 280 minutos; 
[TI_21]; INFO ; 2018-09-03 00:31:23.050; [QueueManager]; Sem processamento a 280 minutos; 
[TB_21]; INFO ; 2018-09-03 00:31:23.050; [QueueManager]; Sem processamento a 280 minutos; 
[TRI_21]; INFO ; 2018-09-03 00:31:23.052; [QueueManager]; Sem processamento a 280 minutos; 
[TG_21]; INFO ; 2018-09-03 00:31:23.052; [QueueManager]; Sem processamento a 280 minutos; 
[TIN_21]; INFO ; 2018-09-03 00:31:23.052; [QueueManager]; Sem processamento a 280 minutos; 
[TFCI_1]; INFO ; 2018-09-03 00:31:24.049; [QueueManager]; Sem processamento a 280 minutos; 
[TEL_J21]; INFO ; 2018-09-03 00:31:24.049; [QueueManager]; Sem processamento a 280 minutos; 
[TFCI_21]; INFO ; 2018-09-03 00:31:24.051; [QueueManager]; Sem processamento a 280 minutos; 
[TFP2_1]; INFO ; 2018-09-03 00:31:24.051; [QueueManager]; Sem processamento a 280 minutos; 
